"test_id","category","prompt","expected_behavior","scope_type","actual_response","latency_ms","places_count","raw_success","tools_used"
"R01","Place Query","แนะนำสถานที่เรียนรู้ประวัติศาสตร์ในเกาะรัตนโกสินทร์ 3 ที่","ควรเสนอ 3 สถานที่เชิงประวัติศาสตร์ในเกาะรัตนโกสินทร์","in_scope","Here are some notable places in Bangkok related to the number 3.","15086","3","True",""
"R02","Place Query","มีวัดสำคัญอะไรในเกาะรัตนโกสินทร์ที่เหมาะกับนักท่องเที่ยวต่างชาติบ้าง","ควรแนะนำวัดสำคัญในเกาะรัตนโกสินทร์","in_scope","No specific query provided. Please specify a place, category, or location for recommendations.","2873","0","True",""
"R03","Place Query","ถ้าอยากเที่ยวมิวเซียมในย่านเกาะรัตนโกสินทร์ควรไปที่ไหนดี","ควรแนะนำพิพิธภัณฑ์ในเกาะรัตนโกสินทร์","in_scope","It seems like your request is unclear. Please provide more specific information about what you're looking for in Bangkok.","3469","0","True",""
"R04","Place Query","จุดถ่ายรูปสวย ๆ รอบสนามหลวงและเมืองเก่ามีที่ไหนบ้าง","ควรเสนอจุดถ่ายรูปในเขตเมืองเก่า/สนามหลวง","in_scope","Here are some notable attractions in Bangkok that you might find interesting.","24605","10","True",""
"R05","Place Query","ถ้าอยากเดินเที่ยวเมืองเก่าแบบได้บรรยากาศควรเริ่มจากตรงไหน","ควรเสนอจุดเริ่มต้นในเกาะรัตนโกสินทร์","in_scope","No specific query provided. Please specify a place, category, or location for recommendations.","2279","0","True",""
"R06","Constraint-based Planning","จัดทริปครึ่งวันในเกาะรัตนโกสินทร์ เน้นวัดและพิพิธภัณฑ์ 3 จุด เดินทางสั้น ๆ","ควรสร้างทริป 3 จุดในเกาะรัตนโกสินทร์","in_scope","{
  ""intent"": ""place_recommendation"",
  ""summary"": ""Here are some places to consider for a 3-day itinerary in Bangkok, focusing on vibrant markets and nightlife."",
  ""places"": [
    {
      ""id"": ""94cc1107-7103-4c8c-9652-bcf8622a0aa6"",
      ""name"": ""Khao San Road"",
      ""slug"": ""khao-san-road"",
      ""lat"": 13.7581,
      ""lng"": 100.4989,
      ""tags"": [""walking street"", ""nightlife""],
      ""description"": ""The world-famous backpacker hub, offering a vibrant mix of nightlife, street food, massage shops, and budget shopping.""
    },
    {
      ""id"": ""a0ddd024-c5f8-46ca-bab3-f7b9e78a25bb"",
      ""name"": ""Trok Mor Morning Market"",
      ""slug"": ""trok-mor-morning-market"",
      ""lat"": 13.7496,
      ""lng"": 100.4992,
      ""tags"": [""market""],
      ""description"": ""A busy, authentic morning market tucked in an alley near the Giant Swing, selling fresh food, curries, and monk offerings.""
    },
    {
      ""id"": ""e4c37666-d6da-40cc-9683-c44081c40fa9"",
      ""name"": ""Ong Ang Canal Walking Street"",
      ""slug"": ""ong-ang-canal-walking-street"",
      ""lat"": 13.7444,
      ""lng"": 100.5028,
      ""tags"": [""market""],
      ""description"": ""A revitalized canal area featuring street art, kayaking, and a weekend walking street market with food and music.""
    }
  ],
  ""planningConstraints"": {
    ""durationMinutes"": 4320,
    ""maxStops"": 9,
    ""budgetLevel"": ""medium"",
    ""groupType"": ""couple"",
    ""themes"": [""market"", ""nightlife""]
  }
}","12208","0","True",""
"R07","Constraint-based Planning","จัดทริป 1 วันสำหรับนักท่องเที่ยวต่างชาติในเกาะรัตนโกสินทร์ เน้นประวัติศาสตร์ไทย","ควรจัดทริป 1 วันเชิงประวัติศาสตร์ในเกาะรัตนโกสินทร์","in_scope","Here are some notable temples in Bangkok that you might find interesting.","12573","4","True",""
"R08","Constraint-based Planning","จัดทริปสายถ่ายรูปในเกาะรัตนโกสินทร์ 4 จุด แบบเดินเที่ยวได้","ควรจัดทริป 4 จุดเดินเที่ยวได้ในพื้นที่ศึกษา","in_scope","Here are some notable places in Bangkok that may interest you, including cultural sites, markets, and historical landmarks.","17476","4","True",""
"R09","Constraint-based Planning","จัดทริปสำหรับครอบครัวในเกาะรัตนโกสินทร์ เน้นเดินน้อยและมีที่พักนั่ง","ควรจัดทริป family-friendly ในพื้นที่ศึกษา","in_scope","Here are some notable attractions in Bangkok that you might find interesting.","13464","5","True",""
"R10","Constraint-based Planning","จัดแผนเที่ยวเมืองเก่าครึ่งวัน งบประหยัด เน้นวัดและพิพิธภัณฑ์","ควรจัดแผนครึ่งวันงบประหยัดในพื้นที่ศึกษา","in_scope","Here are some notable attractions in Bangkok that you might find interesting.","26535","10","True",""
