test_id,category,prompt,prior_context,expected_behavior,expected_constraints,actual_response,tools_used,latency_ms,constraint_score_rater_1,routing_score_rater_1,system_score_rater_1,constraint_score_rater_2,routing_score_rater_2,system_score_rater_2,average_constraint_score,average_routing_score,average_system_score,average_score,pass_fail,error_type,notes
T01,Place Query,"แนะนำคาเฟ่บรรยากาศดีๆ ใกล้ BTS สยาม ให้หน่อย 3 ที่",,"เสนอคาเฟ่ 3 แห่งใกล้ BTS สยาม","3 places; near BTS Siam","No specific BTS stations or related places found.",,4709,,,,,,,,,,,fail,constraint_violation;retrieval_failure,"Live API test via POST /api/agent/v2; returned no places"
T02,Place Query,"แถวแม่น้ำเจ้าพระยามีวัดอะไรน่าไปบ้าง ขอแบบที่มีสถาปัตยกรรมสวยๆ",,"เสนอวัดริมเจ้าพระยาที่เด่นด้านสถาปัตยกรรม","temples; riverside; architecture",,,,,,,,,,,,,,
T03,Place Query,"แนะนำสถานที่เที่ยวสำหรับพาเด็กเล็กไปย่านสุขุมวิทหน่อย",,"เสนอจุดหมายที่เหมาะกับเด็กเล็กในสุขุมวิท","family-friendly; Sukhumvit",,,,,,,,,,,,,,
T04,Place Query,"มีสตรีทฟู้ดหรือตลาดกลางคืนที่ไหนเด็ดๆ แถวเยาวราชบ้าง",,"เสนอร้านหรือพื้นที่ street food ย่านเยาวราช","Yaowarat; food/night market",,,,,,,,,,,,,,
T05,Place Query,"หาพิพิธภัณฑ์ที่เข้าฟรีหรือราคาถูกในกรุงเทพให้หน่อย",,"เสนอพิพิธภัณฑ์ฟรีหรือราคาประหยัด","museum; free/cheap",,,,,,,,,,,,,,
T06,Constraint-based Planning,"จัดทริปครึ่งวัน (4 ชม.) เที่ยววัด 3 แห่งใกล้ๆ พระบรมมหาราชวัง เดินทางด้วยรถสาธารณะ งบไม่เกิน 500 บาท",,"วางแผนเที่ยววัด 3 แห่งใน 4 ชั่วโมง","4 hours; 3 temples; public transport; budget <= 500","No relevant places found for the specified query.",,9178,,,,,,,,,,,fail,constraint_violation;planning_failure,"Live API test via POST /api/agent/v2; planner produced no valid itinerary"
T07,Constraint-based Planning,"จัดแผนเที่ยว 1 วันเต็ม สำหรับครอบครัวที่มีผู้สูงอายุ ขอ 4 สถานที่ เน้นเดินน้อยๆ",,"วางแผน 4 สถานที่สำหรับผู้สูงอายุ","1 day; family; elderly; 4 places; low walking",,,,,,,,,,,,,,
T08,Constraint-based Planning,"ขอทริปเดทกับแฟนช่วงเย็น แถวทองหล่อ มีร้านอาหาร 1 ที่ และบาร์ 1 ที่",,"วางแผนเดทเย็นย่านทองหล่อ","evening; Thonglor; 1 restaurant; 1 bar",,,,,,,,,,,,,,
T09,Constraint-based Planning,"จัดทริปสายบุญ ไหว้พระ 5 วัดในกรุงเทพ สำหรับคนงบน้อย",,"วางแผนไหว้พระ 5 วัดแบบประหยัด","5 temples; low budget",,,,,,,,,,,,,,
T10,Constraint-based Planning,"ขอเส้นทางทัวร์คาเฟ่ 3 ร้าน ย่านอารีย์ เดินเท้าถึงกันได้แบบชิลๆ",,"วางแผนคาเฟ่ 3 ร้านที่เดินถึงกันได้","3 cafes; Ari; walkable",,,,,,,,,,,,,,
T11,Plan Modification,"เปลี่ยนจากวัด 1 แห่ง เป็นแวะคาเฟ่พักเหนื่อยแทนได้ไหม","ต่อจาก T06","แก้แผนเดิมโดยเปลี่ยน 1 stop เป็นคาเฟ่","modify previous plan; replace 1 temple with cafe","Explore a vibrant mix of markets and cultural experiences in Bangkok for a one-day itinerary.",,16634,,,,,,,,,,,fail,context_loss;intent_mismatch,"Live API test without preserved prior session context; response ignored requested modification"
T12,Plan Modification,"รู้สึกว่าทริปแน่นไป ขอตัดออกให้เหลือแค่ 2 ที่ และเพิ่มเวลาเดินเล่นแต่ละที่ให้หน่อย","ต่อจาก T07","ลดจำนวนสถานที่และเพิ่มเวลาต่อจุด","modify previous plan; 2 places; more dwell time",,,,,,,,,,,,,,
T13,Plan Modification,"แฟนไม่อยากดื่มแอลกอฮอล์ เปลี่ยนบาร์เป็นร้านของหวานแทนที","ต่อจาก T08","แทนที่บาร์ด้วยร้านของหวาน","modify previous plan; replace bar with dessert",,,,,,,,,,,,,,
T14,Plan Modification,"ถ้าฝนตกหนัก มีแผนสำรองที่เป็นที่ร่ม (Indoor) แนะนำไหม","ต่อจากแผนใดก็ได้","เสนอแผนสำรอง indoor","rain fallback; indoor alternative",,,,,,,,,,,,,,
T15,Plan Modification,"ปรับแผนนี้ให้หน่อย ขอเปลี่ยนเป็นงบหรูหรา (High-budget) แบบจัดเต็ม","ต่อจากแผนใดก็ได้","ยกระดับแผนเป็นงบสูง","modify previous plan; high budget",,,,,,,,,,,,,,
T16,Ambiguous Queries,"พรุ่งนี้หยุด ไปเที่ยวไหนดี",,"เสนอทางเลือกที่เหมาะสมโดยเติมเงื่อนไขพื้นฐานเอง","underspecified travel suggestion","Here are some notable attractions in Bangkok that you might find interesting.",,24547,,,,,,,,,,,pass,none,"Live API test via POST /api/agent/v2; generic but acceptable exploratory recommendation"
T17,Ambiguous Queries,"จัดทริปให้หน่อย เอาแบบชิลๆ",,"สร้างทริปแบบชิลโดยตั้งสมมติฐานอย่างสมเหตุสมผล","underspecified trip planning",,,,,,,,,,,,,,
T18,Ambiguous Queries,"อยากกินของอร่อย",,"เสนอร้านหรือย่านอาหารที่ตรงโจทย์","food suggestion",,,,,,,,,,,,,,
T19,Ambiguous Queries,"ว่าง 2 ชั่วโมง แถวนี้มีอะไรทำบ้าง","ส่ง userLocation ร่วมด้วย","เสนอสิ่งที่ทำได้ใกล้ตำแหน่งผู้ใช้ใน 2 ชั่วโมง","2 hours; nearby; use location",,,,,,,,,,,,,,
T20,Ambiguous Queries,"หาที่ถ่ายรูปสวยๆ",,"เสนอจุดถ่ายรูปเด่นพร้อมเหตุผล","photo spots",,,,,,,,,,,,,,
T21,Edge Cases,"จัดทริปเที่ยวเชียงใหม่ 3 วัน 2 คืนให้หน่อย",,"ตอบอย่างเหมาะสมว่าข้อมูลระบบเน้นกรุงเทพหรือปฏิเสธอย่างสุภาพ","out of area","Explore vibrant nightlife and street food in Bangkok over a 3-day, 2-night itinerary.",,8393,,,,,,,,,,,fail,out_of_scope_handling;intent_mismatch,"Live API test via POST /api/agent/v2; system redirected to Bangkok instead of acknowledging out-of-area request"
T22,Edge Cases,"ขอทริป 1 วัน ไปเที่ยว 20 สถานที่ทั่วกรุงเทพ",,"ลดทอนหรือปฏิเสธข้อจำกัดที่เป็นไปไม่ได้","over-constrained",,,,,,,,,,,,,,
T23,Edge Cases,"แนะนำร้านอาหารแล้วจองโต๊ะสำหรับ 2 ที่ตอนทุ่มนึงให้ด้วย",,"แนะนำร้านได้แต่ปฏิเสธการจองอย่างเหมาะสม","recommend only; cannot book",,,,,,,,,,,,,,
T24,Edge Cases,"จัดทริปไปดวงจันทร์ให้หน่อย",,"ปฏิเสธหรือเบี่ยงกลับอย่างปลอดภัยและเหมาะสม","nonsense request",,,,,,,,,,,,,,
T25,Edge Cases,"จัดทริปเที่ยวตลาดนัดกลางคืนในช่วงเช้า 8 โมงให้หน่อย",,"ชี้ความขัดแย้งด้านเวลาและเสนอทางเลือกที่สมเหตุสมผล","time conflict",,,,,,,,,,,,,,
