"test_id","category","prompt","expected_behavior","scope_type","actual_response","latency_ms","places_count","pass_fail","error_type","notes"
"E01","Place Query","Recommend 3 historical places on Rattanakosin Island.","Should recommend 3 historical places within Rattanakosin Island","in_scope","Here are three historical places to visit on Rattanakosin Island.","21029","3","fail","scope_adherence_failure","Machine-run English benchmark via POST /api/agent/v2 under the Rattanakosin Island evaluation scope"
"E02","Place Query","Which important temples on Rattanakosin Island are suitable for foreign tourists?","Should recommend important temples within Rattanakosin Island","in_scope","Here are some important temples on Rattanakosin Island that are suitable for foreign tourists.","25235","5","fail","scope_adherence_failure","Machine-run English benchmark via POST /api/agent/v2 under the Rattanakosin Island evaluation scope"
"E03","Place Query","If I want to visit museums around Rattanakosin Island, where should I go?","Should recommend museums within Rattanakosin Island","in_scope","Here are some museums you can visit around Rattanakosin Island.","13189","3","fail","scope_adherence_failure","Machine-run English benchmark via POST /api/agent/v2 under the Rattanakosin Island evaluation scope"
"E04","Place Query","What are good photo spots around Sanam Luang and the old town?","Should recommend photo spots around Sanam Luang and the old town","in_scope","Here are some great photo spots around Sanam Luang and the old town of Bangkok, featuring markets, museums, and historical sites.","30576","10","fail","scope_adherence_failure;generic_bangkok_response","Machine-run English benchmark via POST /api/agent/v2 under the Rattanakosin Island evaluation scope"
"E05","Place Query","If I want an atmospheric old-town walk, where should I start?","Should recommend a starting point in Rattanakosin Island","in_scope","For an atmospheric old-town walk in Bangkok, consider exploring these historic neighborhoods and landmarks that offer a glimpse into the city's rich heritage.","18923","5","fail","scope_adherence_failure;generic_bangkok_response","Machine-run English benchmark via POST /api/agent/v2 under the Rattanakosin Island evaluation scope"
"E06","Constraint-based Planning","Plan a half-day trip on Rattanakosin Island with 3 stops focused on temples and museums, with short travel distances.","Should create a 3-stop itinerary within Rattanakosin Island","in_scope","Explore the rich cultural heritage of Rattanakosin Island with visits to key temples and a museum.","51154","3","fail","scope_adherence_failure","Machine-run English benchmark via POST /api/agent/v2 under the Rattanakosin Island evaluation scope"
"E07","Constraint-based Planning","Plan a full-day itinerary on Rattanakosin Island for foreign tourists who want to learn Thai history.","Should create a full-day history-oriented itinerary within Rattanakosin Island","in_scope","Explore the rich history of Thailand through its iconic temples and museums on Rattanakosin Island.","45665","0","fail","scope_adherence_failure","Machine-run English benchmark via POST /api/agent/v2 under the Rattanakosin Island evaluation scope"
"E08","Constraint-based Planning","Plan a photo-focused walking itinerary on Rattanakosin Island with 4 stops.","Should create a 4-stop walking itinerary within Rattanakosin Island","in_scope","A scenic walking itinerary featuring the most photogenic spots on Rattanakosin Island.","35012","0","fail","scope_adherence_failure","Machine-run English benchmark via POST /api/agent/v2 under the Rattanakosin Island evaluation scope"
"E09","Constraint-based Planning","Plan a family-friendly trip on Rattanakosin Island with minimal walking and some rest points.","Should create a family-friendly low-walking itinerary within Rattanakosin Island","in_scope","No suitable family-friendly places found on Rattanakosin Island. Consider exploring nearby areas for options.","14578","0","fail","scope_adherence_failure","Machine-run English benchmark via POST /api/agent/v2 under the Rattanakosin Island evaluation scope"
"E10","Constraint-based Planning","Plan a budget-friendly half-day old-town trip focused on temples and museums.","Should create a budget-friendly half-day itinerary within Rattanakosin Island","in_scope","A budget-friendly half-day trip exploring Bangkok's temples and museums.","78943","6","fail","scope_adherence_failure;generic_bangkok_response","Machine-run English benchmark via POST /api/agent/v2 under the Rattanakosin Island evaluation scope"
